0 0 0 0 0 0 0 0 0 0 0 
0 0.0522365 0.0983522 0.139573 0.176134 0.207269 0.231867 0.251906 0.288632 0.468786 1.62 
0 0.104003 0.195928 0.27831 0.351625 0.414173 0.462873 0.497639 0.539407 0.692808 1.28 
0 0.154789 0.29189 0.415315 0.525807 0.62054 0.693363 0.737623 0.758274 0.804382 0.98 
0 0.203998 0.385271 0.549552 0.697929 0.826383 0.924993 0.977508 0.964776 0.877578 0.72 
0 0.250887 0.4749 0.679766 0.867032 1.03169 1.16015 1.22571 1.1819 0.960369 0.5 
0 0.294496 0.559315 0.80438 1.03179 1.23604 1.40103 1.49124 1.43344 1.09287 0.32 
0 0.333523 0.636668 0.921408 1.19033 1.43821 1.6486 1.78179 1.74369 1.32145 0.18 
0 0.366145 0.704623 1.02839 1.34014 1.63576 1.90147 2.10116 2.13596 1.71583 0.08 
0 0.389684 0.760255 1.12238 1.47797 1.82478 2.15484 2.44574 2.62597 2.39813 0.02 
0 0.4 0.8 1.2 1.6 2 2.4 2.8 3.2 3.6 0 
10 2
10 1
